NFC;TITULO;ALBUM;ESTRUCTURA;TIPO;PITCH;UBI;CARATULA
MS014;B2. Warzone;DJ Caësar 9114 Vol 6 - Ratatouille;4i+6h1+4s1+4h2+2s2+4h3+6s3-8f;base;4,18;5-014;5-014.png
MS015;A1. NaKaN;DJ Pito NKN vs Ruboy - Sinestesia;2i+6h1+4s1+4h2+2s2+6h3+6s3-8f;melodia;4,18;5-015;5-015.png
MS015;A2. Sinestesia;DJ Pito NKN vs Ruboy - Sinestesia;"3i+4h1+(2+8""+5)s1+4h2+2s2+4h3+2s3-8f";melodia;6,08;5-015;5-015.png
MS015;B1. Cherries Let's Go;DJ Pito NKN vs Ruboy - Sinestesia;4i+4h1+4s1+4h2+2s2+4h3+6s3-8f;base;4,22;5-015;5-015.png
MS015;B2. Rendez-vous IV By NaKaN;DJ Pito NKN vs Ruboy - Sinestesia;"2i+4h1+4s1+8h2+2s2+4h3+(3+16""+2)s3-10f";melodia;4,22;5-015;5-015.png
MS016;A1. Game over 3;Buenri with Ruboy - Game Over 3;"4i+6h1+(16""+6)s1+6h2+(12""+28""+8"")s2-6f";melodia;2,86;5-016;5-016.png
MS016;A2. Base Over;Buenri with Ruboy - Game Over 4;4i+6h1+2s1+8h2+1s2-8f;base;2,84;5-016;5-016.png
MS016;B1. Game Over I - Vibrations;Buenri with Ruboy - Game Over 5;2i+4h1+4s1+6h2+4s2-12f;melodia;3,42;5-016;5-016.png
MS016;B2. Game Over II - Start;Buenri with Ruboy - Game Over 6;4i+6h1+3s1+4h2+2s2+2h3+6s3-10f;melodia;5,90;5-016;5-016.png
MS017;A1. New Hardcore 3;DJ Ruboy & DJ Plus feat Isolda - New Hardcore 3;"4i+4h1+(16""+12)s1+4h2+2s2-8f";melodia;2,82;5-017;5-017.png
MS017;A2. Iron Base;DJ Ruboy & DJ Plus feat Isolda - New Hardcore 3;4i+4h1+2s1+4h2+2s2-8f;base;4,04;5-017;5-017.png
MS017;B1. New Hardcore 1;DJ Ruboy & DJ Plus feat Isolda - New Hardcore 3;2i+8h1+12s1-12f;melodia;-0,12;5-017;5-017.png
MS017;B2. New Hardcore 2;DJ Ruboy & DJ Plus feat Isolda - New Hardcore 3;4i+4h1+12s1+6h2+2s2-8f;melodia;5,94;5-017;5-017.png
MS018;A1. Other Side (X-Centrik);Ruboy Records & Pure Makina - Portal Makina EP 2;"7i+6h1+4s1+(6+8""+2)h2+(4""+4)s2-6f";cantada;2,96;5-018;5-018.png
MS018;A2. Ruboy & Xavi Bcn - Last Requiem;Ruboy Records & Pure Makina - Portal Makina EP 2;"2i+4h1+(1+16""+8)s1+4h2+2s2-8f";melodia;2,94;5-018;5-018.png
MS018;A3. Ruboy - Y Voló;Ruboy Records & Pure Makina - Portal Makina EP 2;6i+4h1+2s1-(4+1)f;base;2,84;5-018;5-018.png
MS018;B1. Ruboy vs Bertus - Music To My Friends;Ruboy Records & Pure Makina - Portal Makina EP 2;"4i+6h1+(8""+4)s1+4h2+2s2+6h3+2s3-8f";melodia;4,22;5-018;5-018.png
MS018;B2. Ruboy vs Aier - Two Skeletons;Ruboy Records & Pure Makina - Portal Makina EP 2;"(2+8""+2)i+4h1+5s1+4h2+2s2+6h3+4s3-8f";melodia;3,08;5-018;5-018.png
MS019;A1. Rubopy vs Counter  - Ride on the stars;Ruboy vs DJ Counter - Ride On The Stars;"4i+6h1+(16""+6)s1+4h2+2s2+4h3+4s3-8f";melodia;2,80;5-019;5-019.png
MS019;A2. Quantum Base;Ruboy vs DJ Counter - Ride On The Stars;2i+4h1+4s1+4h2+6s2-8f;base;2,90;5-019;5-019.png
MS019;B1. Ruboy vs Counter - Return To Harmony;Ruboy vs DJ Counter - Ride On The Stars;2i+6h1+4s1+4h2+2s2+6h3+4s3-8f;melodia;4,22;5-019;5-019.png
